IQ,edu_length,n,n_IQgroup,prop_edulength
1,Compulsory Education,3969,5632,0.704723011
1,Upper Secondary,1539,5632,0.273259943
1,Bachelors Degree,102,5632,0.018110795
1,Masters Degree,NA,5632,NA
2,Compulsory Education,7362,13823,0.53259061
2,Upper Secondary,6041,13823,0.437025248
2,Bachelors Degree,345,13823,0.024958403
2,Masters Degree,75,13823,0.00542574
3,Compulsory Education,10151,27556,0.368377123
3,Upper Secondary,15552,27556,0.56437994
3,Bachelors Degree,1617,27556,0.058680505
3,Masters Degree,236,27556,0.008564378
4,Compulsory Education,11490,47765,0.240552706
4,Upper Secondary,28629,47765,0.599371925
4,Bachelors Degree,6410,47765,0.134198681
4,Masters Degree,1236,47765,0.025876688
5,Compulsory Education,8833,59167,0.1492893
5,Upper Secondary,32032,59167,0.541382865
5,Bachelors Degree,14175,59167,0.239576115
5,Masters Degree,4127,59167,0.06975172
6,Compulsory Education,4919,51954,0.094679909
6,Upper Secondary,22416,51954,0.431458598
6,Bachelors Degree,17350,51954,0.333949263
6,Masters Degree,7269,51954,0.13991223
7,Compulsory Education,2369,35163,0.067371953
7,Upper Secondary,11203,35163,0.31860194
7,Bachelors Degree,13696,35163,0.389500327
7,Masters Degree,7895,35163,0.22452578
8,Compulsory Education,1063,21115,0.050343358
8,Upper Secondary,4766,21115,0.225716315
8,Bachelors Degree,8354,21115,0.395642908
8,Masters Degree,6932,21115,0.328297419
9,Compulsory Education,372,10180,0.03654224
9,Upper Secondary,1346,10180,0.132220039
9,Bachelors Degree,3813,10180,0.374557957
9,Masters Degree,4649,10180,0.456679764
