IQ,edu_length2,prop,below100,conf.low,conf.high
1,Compulsory Education,0.36759889,FALSE,0.3525989,0.3825989
1,Upper Secondary,0.236857445,FALSE,0.21467577,0.25707776
1,Bachelors Degree,NA,TRUE,NA,NA
1,Masters Degree,NA,TRUE,NA,NA
2,Compulsory Education,0.34419995,FALSE,0.33334716,0.35505171
2,Upper Secondary,0.21105777,FALSE,0.2007673,0.22134882
2,Bachelors Degree,NA,TRUE,NA,NA
2,Masters Degree,NA,TRUE,NA,NA
3,Compulsory Education,0.34173973,FALSE,0.33251316,0.35173973
3,Upper Secondary,0.20955004,FALSE,0.20315885,0.21594115
3,Bachelors Degree,0.20470085,FALSE,0.18503399,0.2243677
3,Masters Degree,NA,TRUE,NA,NA
4,Compulsory Education,0.33422131,FALSE,0.32367892,0.34476585
4,Upper Secondary,0.19777419,FALSE,0.19315751,0.20137167
4,Bachelors Degree,0.1753514,FALSE,0.16604191,0.18466041
4,Masters Degree,0.15452381,FALSE,0.13034981,0.17869681
5,Compulsory Education,0.31269104,FALSE,0.30303224,0.32235085
5,Upper Secondary,0.18668831,FALSE,0.18242111,0.1909555
5,Bachelors Degree,0.15343915,FALSE,0.14750603,0.15937228
5,Masters Degree,0.1209101,FALSE,0.11096434,0.13085766
6,Compulsory Education,0.29362916,FALSE,0.28120539,0.30605293
6,Upper Secondary,0.17668558,FALSE,0.17286162,0.18268393
6,Bachelors Degree,0.14132555,FALSE,0.13614215,0.14650694
6,Masters Degree,0.10427844,FALSE,0.09725266,0.11110322
7,Compulsory Education,0.24905023,FALSE,0.23511659,0.26398447
7,Upper Secondary,0.17147135,FALSE,0.16449252,0.17845017
7,Bachelors Degree,0.13060116,FALSE,0.12540843,0.13671189
7,Masters Degree,0.10170994,FALSE,0.09504246,0.10837344
8,Compulsory Education,0.21297405,FALSE,0.186026,0.2399221
8,Upper Secondary,0.17930441,FALSE,0.16317881,0.18602788
8,Bachelors Degree,0.13191645,FALSE,0.12395494,0.13987896
8,Masters Degree,0.0920639,FALSE,0.08532813,0.09879967
9,Compulsory Education,NA,TRUE,NA,NA
9,Upper Secondary,0.1686,FALSE,0.1486,0.1887
9,Bachelors Degree,0.12562287,FALSE,0.11510935,0.13614562
9,Masters Degree,0.08539471,FALSE,0.07736129,0.09342813
